Diffusion Tube ID,X OS Grid Ref (Easting),Y OS Grid Ref (Northing),Site Type,Valid Data Capture for Monitoring Period (%),Valid Data Capture 2024 (%),2020,2021,2022,2023,2024
"561_1,561_2",358688,173431,Roadside,56.6,56.6,33.8,36.7,34.8,24.7,25.7
565,357227,179101,Roadside,100.0,100.0,24.5,26.3,24.4,22.7,22.8
567,360728,175345,Roadside,100.0,100.0,41.3,44.8,43.2,35.3,34.4
568,360178,175779,Kerbside,81.1,81.1,29.0,32.9,32.2,28.2,28.4
569,359855,176186,Roadside,100.0,100.0,22.8,24.1,24.1,21.3,21.4
570,359847,176439,Kerbside,100.0,100.0,28.4,28.2,29.6,26.2,26.4
571,359848,176411,Roadside,100.0,100.0,31.3,33.1,32.3,28.4,28.8
574,357678,174229,Roadside,92.5,92.5,27.3,28.9,29.6,25.8,24.4
576,358792,172874,Roadside,100.0,100.0,23.9,26.8,29.8,27.9,27.2
577,358935,172981,Roadside,92.5,92.5,30.5,27.8,31.1,35.3,35.2
578,361892,173552,Roadside,90.6,90.6,,33.0,31.1,27.5,25.1
579,362198,173580,Kerbside,90.6,90.6,,35.4,32.2,27.2,25.8
580,358754,173528,Roadside,83.0,83.0,,47.9,41.8,33.8,29.4
581,358908,173574,Kerbside,92.5,92.5,,40.8,39.1,30.4,29.0
582,358893,173333,Roadside,84.9,84.9,,50.0,43.7,39.2,45.4
583,358870,173340,Roadside,75.0,75.0,,42.3,37.9,39.1,36.6
584,358773,173276,Roadside,90.6,90.6,,33.0,34.3,30.8,29.5
585,358192,173050,Roadside,83.0,83.0,,30.5,32.1,24.7,29.9
586,358195,173018,Kerbside,83.0,83.0,,38.6,41.8,32.6,36.4
587,358802,172896,Roadside,81.1,81.1,,26.5,30.9,28.5,28.7
588,358739,172869,Roadside,100.0,100.0,,26.5,31.5,29.2,28.3
589,358849,173606,Roadside,100.0,100.0,,26.5,27.2,21.8,20.0
590,358789,173589,Roadside,100.0,100.0,,42.3,40.7,31.0,29.3
591,358805,173575,Roadside,92.5,92.5,,34.9,33.1,25.1,23.4
592,358662,173409,Kerbside,25.0,25.0,,39.6,38.6,28.8,26.7
593,358610,173350,Roadside,100.0,100.0,,35.2,36.3,24.8,23.8
594,358540,173234,Roadside,90.6,90.6,,34.1,34.1,26.6,23.5
595,358510,173197,Roadside,67.9,67.9,,32.2,30.6,23.0,22.6
596,358431,173120,Roadside,75.0,75.0,,30.0,31.2,25.4,22.9
597,358403,173124,Roadside,100.0,100.0,,32.7,33.0,21.7,20.8
598,358061,173182,Roadside,92.5,92.5,,26.9,26.8,21.3,22.3
599,358135,173123,Roadside,100.0,100.0,,33.3,31.0,28.9,28.5
600,358322,172858,Roadside,75.0,75.0,,23.9,23.9,22.0,20.8
601,358563,172818,Roadside,90.6,90.6,,29.4,30.8,25.4,27.5
602,358469,172656,Roadside,92.5,83.0,,38.0,42.7,33.9,33.5
603,358767,173320,Roadside,100.0,100.0,,39.6,41.9,34.5,35.0
604,358817,173342,Roadside,92.5,92.5,,43.0,43.1,39.0,35.4
605,358718,173227,Roadside,100.0,100.0,,32.4,30.2,23.6,29.1
606,359124,172803,Roadside,100.0,100.0,,25.5,25.7,24.4,21.8
607,359183,172826,Roadside,100.0,100.0,,27.8,28.4,23.3,21.4
608,359563,172290,Kerbside,100.0,100.0,,39.4,38.4,31.9,32.0
609,359740,172116,Roadside,100.0,100.0,,30.2,30.4,25.2,24.9
610,359967,171548,Roadside,100.0,100.0,,32.3,32.4,25.6,25.3
611,357425,170769,Roadside,100.0,100.0,,19.5,20.1,16.5,15.3
612,359206,173557,Roadside,100.0,100.0,,29.9,30.9,25.1,23.6
613,359316,173554,Kerbside,75.0,75.0,,40.6,42.0,33.3,32.0
614,359516,173374,Roadside,90.6,90.6,,28.4,29.4,24.7,23.4
615,359659,173688,Kerbside,100.0,100.0,,53.0,49.4,38.4,37.1
616,359747,173717,Kerbside,90.6,90.6,,44.0,42.5,33.5,29.5
617,359686,173587,Kerbside,41.5,41.5,,28.4,25.3,22.4,27.9
618,359086,174187,Roadside,100.0,100.0,,33.8,31.5,30.8,30.9
619,359119,174149,Roadside,100.0,100.0,,34.7,38.2,35.2,32.1
621,359256,175999,Roadside,60.4,60.4,,24.9,25.4,26.5,26.0
622,358059,170597,Roadside,100.0,100.0,,33.7,34.3,29.7,27.5
623,358034,170602,Roadside,84.9,84.9,,30.6,28.4,25.6,23.3
624,357858,170499,Roadside,100.0,100.0,,49.7,48.4,37.6,39.9
625,357842,170514,Roadside,100.0,100.0,,45.4,44.7,37.6,32.9
626,357667,170466,Roadside,64.2,64.2,,43.0,43.3,38.7,33.4
627,357829,170658,Roadside,83.0,83.0,,34.0,33.3,27.9,29.2
628,359899,174335,Roadside,100.0,100.0,,35.9,33.2,29.5,28.6
629,359956,174314,Roadside,92.5,92.5,,38.9,34.8,34.6,26.7
630,357533,170410,Roadside,75.0,75.0,,30.3,35.5,26.7,24.3
632,358073,171063,Roadside,100.0,100.0,,23.4,24.6,22.6,22.1
633,358217,171299,Roadside,90.6,90.6,,36.5,34.6,31.4,33.2
634,358772,171741,Roadside,90.6,90.6,,34.6,30.1,28.1,26.1
635,359106,171962,Kerbside,100.0,100.0,,25.3,23.8,19.9,16.5
636,359940,171838,Roadside,92.5,92.5,,26.2,25.5,22.1,21.0
637,361206,171390,Roadside,100.0,100.0,,21.7,24.2,17.1,16.9
638,359498,173144,Roadside,100.0,100.0,,43.8,42.4,44.8,41.6
639,359318,172634,Roadside,100.0,100.0,,27.0,29.5,29.6,25.8
640,359792,173319,Roadside,90.6,90.6,,28.1,27.1,23.6,22.3
641,359114,174007,Roadside,90.6,90.6,,39.7,38.1,36.8,34.7
642,359276,174155,Roadside,100.0,100.0,,28.9,24.6,24.9,22.7
643,359817,174401,Kerbside,100.0,100.0,,39.7,35.6,28.8,25.4
644,359676,175102,Roadside,100.0,100.0,,31.8,31.7,28.2,25.1
645,359033,175259,Kerbside,90.6,90.6,,30.3,28.9,28.3,27.3
646,359038,174391,Kerbside,100.0,100.0,,31.7,31.7,31.9,30.3
647,357124,172400,Roadside,100.0,100.0,,34.3,30.9,22.9,23.0
648,360905,170185,Roadside,100.0,100.0,,29.0,29.2,25.3,25.8
649,362089,170606,Roadside,100.0,100.0,,30.1,30.0,27.1,24.7
650,360818,170448,Roadside,92.5,92.5,,22.8,21.6,19.3,19.6
651,360938,173376,Roadside,83.0,83.0,,35.2,33.9,26.6,28.6
652,361119,173796,Roadside,90.6,90.6,,41.5,37.0,33.3,30.4
653,360515,174134,Roadside,100.0,100.0,,26.0,30.9,33.5,26.2
654,360207,174403,Roadside,100.0,100.0,,22.9,24.0,20.0,18.9
655,361355,175203,Roadside,100.0,100.0,,29.2,28.6,26.9,26.6
656,361141,175446,Kerbside,100.0,100.0,,28.8,27.3,23.3,21.0
657,361676,175127,Roadside,84.9,84.9,,29.2,33.5,24.9,23.9
658,363325,175803,Roadside,100.0,100.0,,23.6,24.1,22.9,20.2
659,359773,176702,Kerbside,90.6,90.6,,26.5,25.1,22.3,23.8
660,360896,175312,Kerbside,100.0,100.0,,32.1,32.4,28.1,27.7
661,358022,175630,Kerbside,84.9,84.9,,23.3,22.0,20.2,18.3
662,357868,175723,Roadside,100.0,100.0,,21.2,20.7,19.1,16.5
663,357396,174761,Roadside,92.5,92.5,,24.7,25.9,22.4,20.8
664,357347,174992,Kerbside,100.0,100.0,,25.5,24.8,19.7,21.3
665,358675,173405,Roadside,83.0,83.0,,37.6,37.1,31.6,23.5
666,358646,173426,Roadside,67.9,67.9,,32.8,31.3,25.4,22.4
667,358531,172803,Kerbside,100.0,100.0,,43.6,45.3,42.0,41.0
669,359511,172754,Roadside,100.0,100.0,,28.6,33.2,29.7,22.0
670,361749,170690,Roadside,100.0,100.0,,39.9,38.8,32.8,33.1
671,357381,175781,Kerbside,83.0,83.0,,26.1,23.5,21.3,20.8
"673_1,673_2,673_3",358728,173520,Roadside,92.5,92.5,,36.1,33.5,26.1,24.2
674,363157,173215,Roadside,100.0,100.0,,,15.2,14.2,13.4
675,361615,172728,Roadside,100.0,100.0,,,26.4,23.7,23.0
676,361734,173291,Roadside,100.0,100.0,,,19.8,19.0,16.1
677,362105,173350,Kerbside,92.5,92.5,,,21.4,17.6,15.2
678,361279,173283,Roadside,90.6,90.6,,,17.7,15.6,14.0
679,361134,173034,Kerbside,83.0,83.0,,,21.0,20.3,21.4
680,360973,173193,Roadside,90.6,90.6,,,20.8,19.9,18.5
681,360985,173541,Roadside,92.5,92.5,,,24.8,22.4,21.7
682,361359,173460,Kerbside,83.0,83.0,,,26.7,22.9,23.5
683,361451,173617,Roadside,100.0,100.0,,,18.6,17.2,13.5
684,361597,173622,Kerbside,100.0,100.0,,,20.1,17.0,15.3
698,354633,176588,Roadside,90.6,90.6,,,,19.9,21.7
699,355122,175764,Roadside,100.0,100.0,,,,18.8,16.7
700,356336,173464,Kerbside,100.0,100.0,,,,25.8,20.2
701,357448,174634,Kerbside,90.6,90.6,,,,,22.7
702,359833,173376,Roadside,49.1,49.1,,,,,19.6
703,359829,174376,Roadside,100.0,100.0,,,,,26.9
704,357724,170651,Roadside,83.0,83.0,,,,,25.9
705,359506,173139,Kerbside,100.0,67.9,,,,,48.1
706,362449,174228,Kerbside,100.0,43.4,,,,,15.7
707,363424,174168,Kerbside,100.0,43.4,,,,,13.5
708,362882,173755,Kerbside,100.0,43.4,,,,,16.8
709,363234,173422,Kerbside,100.0,43.4,,,,,11.2
710,363548,172933,Kerbside,100.0,43.4,,,,,18.6
711,360877,172939,Kerbside,100.0,43.4,,,,,21.1
